team,season,week,week_label,elo,previous_elo,elo_change,rank,previous_rank,rank_change,conference,classification,logo_url,color,current_week
Toledo,2026,2,Week 2,1526.3409878225737,1567.2256952957655,-40.88470747319184,60,39,-21,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/2649.png,#0b2240,2
Troy,2026,2,Week 2,1521.2872463220497,1512.5762840482198,8.710962273829864,61,67,6,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/2653.png,#862633,2
Louisiana Tech,2026,2,Week 2,1521.2803614299037,1510.0300256046885,11.250335825215188,62,69,7,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/2348.png,#003087,2
Florida,2026,2,Week 2,1521.2253206157222,1489.0344532080242,32.19086740769808,63,78,15,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/57.png,#0021a5,2
Ohio,2026,2,Week 2,1520.207933837767,1570.681585273353,-50.47365143558591,64,35,-29,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/195.png,#024230,2
Georgia Tech,2026,2,Week 2,1518.2220960427098,1540.2035768972985,-21.981480854588654,65,55,-10,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/59.png,#b3a369,2
Northwestern,2026,2,Week 2,1517.7880937075518,1505.1425492062172,12.645544501334598,66,70,4,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/77.png,#582c83,2
Jacksonville State,2026,2,Week 2,1512.0758398952134,1527.7581412162317,-15.682301321018258,67,64,-3,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/55.png,#cc0000,2
NC State,2026,2,Week 2,1511.0598676959014,1545.0813579300527,-34.021490234151315,68,52,-16,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/152.png,#cc0000,2
Louisiana,2026,2,Week 2,1509.6037116062794,1497.3148691611452,12.28884244513415,69,74,5,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/309.png,#ce181e,2
Georgia Southern,2026,2,Week 2,1506.4602709441651,1494.4331812424582,12.027089701706927,70,76,6,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/290.png,#041e42,2
Texas State,2026,2,Week 2,1505.9141167852154,1535.1318219163334,-29.21770513111801,71,59,-12,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/326.png,#501214,2
