game_id,season,week,elo_difference,rating_difference,state_maturity,side,team,opponent,actual_points,actual_40_plus,actual_10_or_less,expected_points,prob_40_plus,prob_10_or_less,expected_drives,ppd,td_rate,fg_rate,turnover_rate,success_rate,ppa,explosive_rate,yards_per_drive,matchup_ratio
401282612,2021,1,75.0,0.0,0.0,home,Pittsburgh,Massachusetts,51.0,1.0,0.0,28.383,0.161,0.057,11.516,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282612,2021,1,75.0,0.0,0.0,away,Massachusetts,Pittsburgh,7.0,0.0,1.0,28.208,0.17,0.056,11.552,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401310697,2021,1,75.0,0.0,0.0,home,Wyoming,Montana State,19.0,0.0,0.0,28.108,0.154,0.064,11.428,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401310697,2021,1,75.0,0.0,0.0,away,Montana State,Wyoming,16.0,0.0,0.0,27.959,0.159,0.06,11.509,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401287887,2021,1,75.0,0.0,0.0,home,Iowa State,Northern Iowa,16.0,0.0,0.0,27.825,0.138,0.076,11.461,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401287887,2021,1,75.0,0.0,0.0,away,Northern Iowa,Iowa State,10.0,0.0,1.0,28.187,0.142,0.059,11.482,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401287892,2021,1,75.0,0.0,0.0,home,Texas,Louisiana,38.0,0.0,0.0,28.502,0.16,0.046,11.549,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401287892,2021,1,75.0,0.0,0.0,away,Louisiana,Texas,18.0,0.0,0.0,27.814,0.142,0.065,11.477,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309842,2021,1,55.89696605733252,-26.33959880195709,0.0,home,USC,San José State,30.0,0.0,0.0,22.804,0.054,0.128,11.268,1.8984470069964667,0.2528151925634875,0.100399203184089,0.1208231580328197,0.3944565529583831,-0.0426715709429182,0.0819176080657292,31.282827753136072,0.897379654746055
401309842,2021,1,55.89696605733252,-26.33959880195709,0.0,away,San José State,USC,7.0,0.0,1.0,35.267,0.359,0.019,11.254,2.8057732073770163,0.3831507627220701,0.100399203184089,0.1121869794033326,0.4486230094637936,0.2498810715105184,0.1247877152024692,39.87114878284337,1.1490404365969291
401286294,2021,1,75.0,0.0,0.0,home,Liberty,Campbell,48.0,1.0,0.0,28.245,0.152,0.051,11.554,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401286294,2021,1,75.0,0.0,0.0,away,Campbell,Liberty,7.0,0.0,1.0,27.946,0.145,0.072,11.516,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309600,2021,1,75.0,0.0,0.0,home,Georgia Southern,Gardner-Webb,30.0,0.0,0.0,27.604,0.139,0.072,11.508,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309600,2021,1,75.0,0.0,0.0,away,Gardner-Webb,Georgia Southern,25.0,0.0,0.0,28.011,0.158,0.063,11.493,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401281944,2021,1,75.0,0.0,0.0,home,Auburn,Akron,60.0,1.0,0.0,28.589,0.169,0.057,11.555,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401281944,2021,1,75.0,0.0,0.0,away,Akron,Auburn,10.0,0.0,1.0,27.94,0.16,0.048,11.518,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401281951,2021,1,75.0,0.0,0.0,home,South Carolina,Eastern Illinois,46.0,1.0,0.0,28.076,0.142,0.062,11.478,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401281951,2021,1,75.0,0.0,0.0,away,Eastern Illinois,South Carolina,0.0,0.0,1.0,28.291,0.165,0.075,11.487,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282173,2021,1,75.0,0.0,0.0,home,Middle Tennessee,Monmouth,50.0,1.0,0.0,27.775,0.143,0.052,11.458,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282173,2021,1,75.0,0.0,0.0,away,Monmouth,Middle Tennessee,15.0,0.0,0.0,27.768,0.14,0.067,11.506,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282611,2021,1,75.0,0.0,0.0,home,Ohio,Syracuse,9.0,0.0,1.0,27.388,0.132,0.061,11.44,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282611,2021,1,75.0,0.0,0.0,away,Syracuse,Ohio,29.0,0.0,0.0,27.955,0.144,0.07,11.475,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282819,2021,1,75.0,0.0,0.0,home,Purdue,Oregon State,30.0,0.0,0.0,28.261,0.165,0.065,11.622,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282819,2021,1,75.0,0.0,0.0,away,Oregon State,Purdue,21.0,0.0,0.0,27.953,0.134,0.072,11.477,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401287886,2021,1,0.0,0.0,0.0,home,Houston,Texas Tech,21.0,0.0,0.0,27.655,0.147,0.056,11.412,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401287886,2021,1,0.0,0.0,0.0,away,Texas Tech,Houston,38.0,0.0,0.0,27.87,0.144,0.064,11.57,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401287890,2021,1,75.0,0.0,0.0,home,Oklahoma State,Missouri State,23.0,0.0,0.0,27.992,0.158,0.067,11.493,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401287890,2021,1,75.0,0.0,0.0,away,Missouri State,Oklahoma State,16.0,0.0,0.0,27.866,0.14,0.057,11.471,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
